[WARN ] 2020-10-26 08:48:04,183 [http-nio-8080-exec-1] o.s.w.s.m.s.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.HttpRequestMethodNotSupportedException: Request method 'GET' not supported]
[WARN ] 2020-10-26 08:48:41,219 [http-nio-8080-exec-1] o.a.c.util.SessionIdGeneratorBase - Creation of SecureRandom instance for session ID generation using [SHA1PRNG] took [650] milliseconds.
[WARN ] 2020-10-26 08:49:52,498 [http-nio-8080-exec-1] o.a.c.util.SessionIdGeneratorBase - Creation of SecureRandom instance for session ID generation using [SHA1PRNG] took [359] milliseconds.
[WARN ] 2020-10-26 08:51:21,266 [http-nio-8080-exec-1] o.a.c.util.SessionIdGeneratorBase - Creation of SecureRandom instance for session ID generation using [SHA1PRNG] took [673] milliseconds.
[WARN ] 2020-10-26 08:53:18,555 [http-nio-8080-exec-2] o.a.c.util.SessionIdGeneratorBase - Creation of SecureRandom instance for session ID generation using [SHA1PRNG] took [624] milliseconds.
[WARN ] 2020-10-26 08:58:02,612 [http-nio-8080-exec-1] o.a.c.util.SessionIdGeneratorBase - Creation of SecureRandom instance for session ID generation using [SHA1PRNG] took [641] milliseconds.
[WARN ] 2020-10-26 08:59:26,521 [http-nio-8080-exec-1] o.a.c.util.SessionIdGeneratorBase - Creation of SecureRandom instance for session ID generation using [SHA1PRNG] took [597] milliseconds.
[WARN ] 2020-10-26 09:00:42,927 [http-nio-8080-exec-1] o.a.c.util.SessionIdGeneratorBase - Creation of SecureRandom instance for session ID generation using [SHA1PRNG] took [656] milliseconds.
[WARN ] 2020-10-26 09:09:53,169 [http-nio-8080-exec-1] o.a.c.util.SessionIdGeneratorBase - Creation of SecureRandom instance for session ID generation using [SHA1PRNG] took [574] milliseconds.
[WARN ] 2020-10-26 09:13:41,110 [http-nio-8080-exec-1] o.a.c.util.SessionIdGeneratorBase - Creation of SecureRandom instance for session ID generation using [SHA1PRNG] took [451] milliseconds.
[WARN ] 2020-10-26 09:20:53,192 [http-nio-8080-exec-1] o.a.c.util.SessionIdGeneratorBase - Creation of SecureRandom instance for session ID generation using [SHA1PRNG] took [430] milliseconds.
[WARN ] 2020-10-26 09:23:16,337 [http-nio-8080-exec-1] o.a.c.util.SessionIdGeneratorBase - Creation of SecureRandom instance for session ID generation using [SHA1PRNG] took [394] milliseconds.
[WARN ] 2020-10-26 09:48:16,739 [http-nio-8080-exec-1] o.a.c.util.SessionIdGeneratorBase - Creation of SecureRandom instance for session ID generation using [SHA1PRNG] took [667] milliseconds.
[WARN ] 2020-10-26 20:38:17,788 [main] o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'merchantController': Unsatisfied dependency expressed through field 'jedis'; nested exception is org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'jedis' defined in class path resource [com/jiac/restaurantsystem/config/JedisConfig.class]: Bean instantiation via factory method failed; nested exception is org.springframework.beans.BeanInstantiationException: Failed to instantiate [redis.clients.jedis.Jedis]: Factory method 'jedis' threw exception; nested exception is redis.clients.jedis.exceptions.JedisConnectionException: Could not get a resource from the pool
[WARN ] 2020-10-26 20:39:59,607 [main] o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'merchantController': Unsatisfied dependency expressed through field 'jedis'; nested exception is org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'jedis' defined in class path resource [com/jiac/restaurantsystem/config/JedisConfig.class]: Bean instantiation via factory method failed; nested exception is org.springframework.beans.BeanInstantiationException: Failed to instantiate [redis.clients.jedis.Jedis]: Factory method 'jedis' threw exception; nested exception is redis.clients.jedis.exceptions.JedisConnectionException: Could not get a resource from the pool
[WARN ] 2020-10-26 20:48:24,287 [http-nio-8080-exec-1] o.a.c.util.SessionIdGeneratorBase - Creation of SecureRandom instance for session ID generation using [SHA1PRNG] took [632] milliseconds.
[WARN ] 2020-10-26 20:53:04,552 [http-nio-8080-exec-5] o.a.c.util.SessionIdGeneratorBase - Creation of SecureRandom instance for session ID generation using [SHA1PRNG] took [621] milliseconds.
[WARN ] 2020-10-26 20:56:05,554 [http-nio-8080-exec-1] o.a.c.util.SessionIdGeneratorBase - Creation of SecureRandom instance for session ID generation using [SHA1PRNG] took [642] milliseconds.
[WARN ] 2020-10-26 21:19:13,221 [http-nio-8080-exec-9] o.a.c.util.SessionIdGeneratorBase - Creation of SecureRandom instance for session ID generation using [SHA1PRNG] took [666] milliseconds.
[WARN ] 2020-10-26 21:28:07,437 [http-nio-8080-exec-7] o.a.c.util.SessionIdGeneratorBase - Creation of SecureRandom instance for session ID generation using [SHA1PRNG] took [648] milliseconds.
[WARN ] 2020-10-26 21:39:34,848 [http-nio-8080-exec-1] o.a.c.util.SessionIdGeneratorBase - Creation of SecureRandom instance for session ID generation using [SHA1PRNG] took [226] milliseconds.
[WARN ] 2020-10-26 21:48:26,941 [http-nio-8080-exec-6] o.a.c.util.SessionIdGeneratorBase - Creation of SecureRandom instance for session ID generation using [SHA1PRNG] took [233] milliseconds.
[WARN ] 2020-10-26 22:46:32,039 [http-nio-8080-exec-1] o.a.c.util.SessionIdGeneratorBase - Creation of SecureRandom instance for session ID generation using [SHA1PRNG] took [229] milliseconds.
[WARN ] 2020-10-26 22:48:00,024 [http-nio-8080-exec-4] o.a.c.util.SessionIdGeneratorBase - Creation of SecureRandom instance for session ID generation using [SHA1PRNG] took [253] milliseconds.
[WARN ] 2020-10-26 22:49:24,806 [http-nio-8080-exec-7] o.a.c.util.SessionIdGeneratorBase - Creation of SecureRandom instance for session ID generation using [SHA1PRNG] took [242] milliseconds.
[WARN ] 2020-10-26 22:56:55,480 [http-nio-8080-exec-7] o.a.c.util.SessionIdGeneratorBase - Creation of SecureRandom instance for session ID generation using [SHA1PRNG] took [322] milliseconds.
[WARN ] 2020-10-26 22:57:53,530 [http-nio-8080-exec-8] o.s.w.s.m.s.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.HttpRequestMethodNotSupportedException: Request method 'GET' not supported]
[WARN ] 2020-10-26 23:01:25,105 [http-nio-8080-exec-5] o.s.w.s.m.s.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.HttpRequestMethodNotSupportedException: Request method 'GET' not supported]
[WARN ] 2020-10-26 23:02:42,701 [http-nio-8080-exec-4] o.s.w.s.m.s.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.HttpRequestMethodNotSupportedException: Request method 'GET' not supported]
[WARN ] 2020-10-26 23:02:45,321 [http-nio-8080-exec-6] o.a.c.util.SessionIdGeneratorBase - Creation of SecureRandom instance for session ID generation using [SHA1PRNG] took [243] milliseconds.
[WARN ] 2020-10-26 23:04:45,255 [http-nio-8080-exec-1] o.s.w.s.m.s.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.HttpRequestMethodNotSupportedException: Request method 'GET' not supported]
[WARN ] 2020-10-26 23:05:03,903 [http-nio-8080-exec-4] o.a.c.util.SessionIdGeneratorBase - Creation of SecureRandom instance for session ID generation using [SHA1PRNG] took [253] milliseconds.
[WARN ] 2020-10-26 23:05:29,968 [http-nio-8080-exec-1] o.s.w.s.m.s.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.HttpRequestMethodNotSupportedException: Request method 'GET' not supported]
[WARN ] 2020-10-26 23:06:08,641 [http-nio-8080-exec-3] o.a.c.util.SessionIdGeneratorBase - Creation of SecureRandom instance for session ID generation using [SHA1PRNG] took [268] milliseconds.
